任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
10,ID88,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,95,9:0,15:24
19,ID12,13.01.05.005,TF03-UART(单品包装)-V1.1,测试,82,15:45,19:0
10,ID88,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,95,9:0,15:24
19,ID12,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,26,18:36,19:0
115,ID548,13.01.09.001,TF350-UART(单品包装)-V1.0,组装,20,15:24,16:18
115,ID548,13.01.09.001,TF350-UART(单品包装)-V1.0,测试,20,16:18,17:27
10,ID88,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,95,9:0,15:24
19,ID12,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,26,18:36,19:0
115,ID548,13.01.09.001,TF350-UART(单品包装)-V1.0,组装,20,15:24,16:18
115,ID548,13.01.09.001,TF350-UART(单品包装)-V1.0,包装,20,17:18,18:6
10,ID88,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,95,9:0,15:24
28,ID84,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,472,15:24,19:0
10,ID88,13.01.05.017,TF03-UART(整箱包装)-V1.1,测试,173,9:0,15:45
27,ID83,13.01.07.001,TF-luna(标品/单品包装)-V1.0,包装,532,15:45,19:0
10,ID88,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,418,14:12,15:48
42,ID1,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),组装,25,9:0,10:27
42,ID1,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),组装,30,10:27,13:12
46,ID149,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,46,15:48,19:0
115,ID548,13.01.09.001,TF350-UART(单品包装)-V1.0,组装,20,13:12,14:6
10,ID88,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,418,14:12,15:48
27,ID83,13.01.07.001,TF-luna(标品/单品包装)-V1.0,包装,659,9:0,13:24
115,ID548,13.01.09.001,TF350-UART(单品包装)-V1.0,组装,20,15:48,16:42
115,ID548,13.01.09.001,TF350-UART(单品包装)-V1.0,包装,20,17:18,18:6
