任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
99,ID443,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,1295,9:0,19:0
104,ID437,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,120,10:45,13:33
108,ID555,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,800,13:33,15:30
109,ID530,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,组装,720,9:0,10:45
104,ID437,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,120,11:57,14:45
111,ID556,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,65,14:45,19:0
109,ID530,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,组装,1500,9:0,13:39
111,ID556,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,52,15:30,19:0
109,ID530,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,测试,485,13:0,19:0
97,ID445,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,746,9:0,13:0
108,ID555,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,800,13:39,15:36
97,ID445,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,734,9:0,11:57
111,ID556,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,50,15:36,19:0
