任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
65,ID191,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,组装,42,9:0,11:24
66,ID265,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,928,11:24,19:0
65,ID191,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,组装,42,9:0,11:24
65,ID191,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,包装,190,11:24,15:12
72,ID305,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,230,15:12,19:0
65,ID191,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,组装,42,9:0,11:24
65,ID191,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,包装,190,11:24,15:12
73,ID271,13.01.07.003,TF-Luna(LT/整箱包装)-V1.0,组装,1168,15:12,19:0
65,ID191,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,组装,42,9:0,11:24
73,ID271,13.01.07.003,TF-Luna(LT/整箱包装)-V1.0,组装,123,18:39,19:0
65,ID191,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,测试,83,9:0,11:45
68,ID262,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,800,11:45,19:0
68,ID262,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,800,11:24,18:39
