任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
154,ID1010,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,1504,9:0,16:3
163,ID970,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,800,16:3,18:30
154,ID1010,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,1504,9:0,16:3
170,ID1143,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,580,16:3,19:0
154,ID1010,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,419,9:0,16:0
156,ID1023,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,174,16:0,19:0
154,ID1010,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,1504,9:0,16:3
164,ID971,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,组装,1006,16:3,19:0
161,ID1061,13.01.07.001,TF-luna(标品/单品包装)-V1.0,测试,214,9:0,10:24
162,ID979,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,2520,10:24,19:0
170,ID1143,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,118,18:30,19:0
