任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
157,ID1000,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,20,9:0,10:9
157,ID1000,13.01.05.005,TF03-UART(单品包装)-V1.1,测试,120,10:9,15:9
162,ID979,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,1082,15:27,19:0
157,ID1000,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,64,9:0,13:39
157,ID1000,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,120,13:39,15:27
154,ID1010,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,593,9:0,19:0
157,ID1000,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,64,9:0,13:39
157,ID1000,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,120,13:39,15:27
161,ID1061,13.01.07.001,TF-luna(标品/单品包装)-V1.0,组装,1482,14:18,19:0
157,ID1000,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,75,9:0,14:18
161,ID1061,13.01.07.001,TF-luna(标品/单品包装)-V1.0,组装,1182,15:9,19:0
161,ID1061,13.01.07.001,TF-luna(标品/单品包装)-V1.0,组装,1076,15:27,19:0
