任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
170,ID1143,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,409,9:0,15:51
173,ID1120,13.01.05.005,TF03-UART(单品包装)-V1.1,测试,79,15:51,19:0
171,ID1139,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,测试,185,9:0,11:6
173,ID1120,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,111,11:6,19:0
171,ID1139,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,307,9:0,11:12
173,ID1120,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,109,11:12,19:0
171,ID1139,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,307,9:0,11:12
171,ID1139,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,307,9:0,11:12
173,ID1120,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,109,11:12,19:0
173,ID1120,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,109,11:12,19:0
