任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
57,ID253,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,2005,9:0,19:0
57,ID253,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,2005,9:0,19:0
57,ID253,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,2005,9:0,19:0
57,ID253,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,2005,9:0,19:0
57,ID253,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,589,9:3,19:0
70,ID186,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,组装,100,9:0,11:45
70,ID186,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,测试,100,14:24,15:39
70,ID186,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,包装,100,15:39,16:30
70,ID186,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,组装,100,9:0,11:45
70,ID186,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,组装,100,11:45,15:30
70,ID186,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,包装,100,15:30,16:21
