任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
73,ID271,13.01.07.003,TF-Luna(LT/整箱包装)-V1.0,测试,305,9:0,19:0
81,ID340,13.01.07.001,TF-luna(标品/单品包装)-V1.0,组装,1483,9:0,14:12
82,ID391,13.01.07.008,TF-Luna-ASU,组装,1522,14:12,19:0
81,ID340,13.01.07.001,TF-luna(标品/单品包装)-V1.0,组装,1483,9:0,14:12
81,ID340,13.01.07.001,TF-luna(标品/单品包装)-V1.0,组装,1500,14:12,18:57
84,ID270,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,组装,0,18:57,19:0
72,ID305,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,810,9:0,15:51
82,ID391,13.01.07.008,TF-Luna-ASU,组装,938,15:51,19:0
82,ID391,13.01.07.008,TF-Luna-ASU,组装,938,15:51,19:0
72,ID305,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,810,9:0,15:51
