任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
73,ID271,13.01.07.003,TF-Luna(LT/整箱包装)-V1.0,测试,305,9:0,19:0
82,ID391,13.01.07.008,TF-Luna-ASU,组装,478,9:0,10:21
84,ID270,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,组装,60,13:0,16:27
85,ID388,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,727,16:27,19:0
84,ID270,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,组装,60,9:0,13:24
84,ID270,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,测试,60,14:48,16:48
86,ID353,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,271,17:21,19:0
84,ID270,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,组装,60,10:21,14:48
84,ID270,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,包装,60,16:3,16:57
148,ID857,13.01.09.001,TF350-UART(单品包装)-V1.0,组装,20,15:9,16:3
82,ID391,13.01.07.008,TF-Luna-ASU,组装,1062,9:0,13:0
84,ID270,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,包装,60,16:27,17:21
95,ID354,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),组装,30,13:24,15:9
82,ID391,13.01.07.008,TF-Luna-ASU,组装,1062,9:0,13:0
85,ID388,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,603,16:48,19:0
84,ID270,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,组装,60,13:0,16:27
85,ID388,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,550,16:57,19:0
