任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
62,ID136,13.01.05.006,TF03-485(单品包装)-V1.1,测试,120,10:33,15:33
55,ID46,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,1295,9:0,19:0
62,ID136,13.01.05.006,TF03-485(单品包装)-V1.1,包装,120,13:54,15:42
60,ID134,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,120,11:21,11:51
60,ID134,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,120,11:51,13:21
64,ID182,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,组装,760,16:39,19:0
62,ID136,13.01.05.006,TF03-485(单品包装)-V1.1,组装,26,9:0,10:27
62,ID136,13.01.05.006,TF03-485(单品包装)-V1.1,包装,120,14:51,16:39
62,ID136,13.01.05.006,TF03-485(单品包装)-V1.1,组装,41,9:0,11:21
63,ID183,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,1171,15:12,19:0
62,ID136,13.01.05.006,TF03-485(单品包装)-V1.1,组装,85,9:0,14:51
63,ID183,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,1047,15:33,19:0
62,ID136,13.01.05.006,TF03-485(单品包装)-V1.1,组装,91,9:0,15:12
63,ID183,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,994,15:42,19:0
