任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
135,ID837,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,411,9:0,10:0
135,ID837,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,800,10:0,11:57
135,ID837,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,306,16:18,19:0
163,ID970,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,800,11:57,14:54
134,ID841,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,652,9:0,11:45
135,ID837,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,测试,496,11:51,19:0
132,ID981,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,593,9:0,19:0
134,ID841,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,675,9:0,11:51
135,ID837,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,306,16:18,19:0
155,ID941,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,组装,60,11:51,16:18
134,ID841,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,675,9:0,11:51
135,ID837,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,306,16:18,19:0
135,ID837,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,800,11:45,14:42
