任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
181,ID1161,13.01.07.001,TF-luna(标品/单品包装)-V1.0,测试,1051,9:0,16:54
182,ID1221,13.01.05.005,TF03-UART(单品包装)-V1.1,测试,13,18:33,19:0
181,ID1161,13.01.07.001,TF-luna(标品/单品包装)-V1.0,包装,1355,9:0,17:0
181,ID1161,13.01.07.001,TF-luna(标品/单品包装)-V1.0,包装,1355,9:0,17:0
182,ID1221,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,66,14:42,19:0
182,ID1221,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,64,14:48,19:0
182,ID1221,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,82,9:0,14:42
177,ID1244,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,221,16:54,19:0
182,ID1221,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,84,9:0,14:48
177,ID1244,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,207,17:0,19:0
