任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
173,ID1120,13.01.05.005,TF03-UART(单品包装)-V1.1,测试,41,9:0,10:21
177,ID1244,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,11:24,16:12
177,ID1244,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,544,16:12,19:0
173,ID1120,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,9,9:0,09:30
173,ID1120,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,120,09:30,11:18
177,ID1244,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,331,17:6,19:0
173,ID1120,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,11,9:0,09:36
175,ID1122,13.01.05.011,TF03-180 4~20mA（单品包装）-V1.0,包装,30,09:36,10:3
170,ID1143,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,858,11:18,19:0
173,ID1120,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,120,09:36,11:24
177,ID1244,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,225,18:3,19:0
170,ID1143,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,900,09:36,17:6
177,ID1244,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,45,18:21,19:0
173,ID1120,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,11,9:0,09:36
170,ID1143,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,900,10:3,18:3
173,ID1120,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,11,9:0,09:36
170,ID1143,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,900,10:21,18:21
