任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
10,ID88,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,148,9:0,19:0
10,ID88,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,148,9:0,19:0
10,ID88,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,148,9:0,19:0
10,ID88,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,148,9:0,19:0
19,ID12,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,117,9:0,16:42
11,ID37,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),包装,30,16:42,18:18
61,ID215,13.01.09.001,TF350-UART(单品包装)-V1.0,包装,20,18:18,18:36
61,ID215,13.01.09.001,TF350-UART(单品包装)-V1.0,包装,20,18:36,18:54
19,ID12,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,100,9:0,15:45
11,ID37,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),包装,30,15:45,16:51
27,ID83,13.01.07.001,TF-luna(标品/单品包装)-V1.0,测试,251,16:51,19:0
19,ID12,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,100,9:0,15:45
19,ID12,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,47,15:45,19:0
