任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
73,ID271,13.01.07.003,TF-Luna(LT/整箱包装)-V1.0,测试,305,9:0,19:0
73,ID271,13.01.07.003,TF-Luna(LT/整箱包装)-V1.0,包装,3171,18:6,19:0
97,ID445,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,213,9:0,09:54
100,ID519,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,09:54,14:42
131,ID730,13.01.09.002,TF350-485(单品包装)-V1.0,组装,50,14:42,16:57
73,ID271,13.01.07.003,TF-Luna(LT/整箱包装)-V1.0,包装,3171,18:6,19:0
100,ID519,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,09:54,14:42
97,ID445,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,189,9:0,09:48
99,ID443,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,2726,09:48,19:0
97,ID445,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,213,9:0,09:54
131,ID730,13.01.09.002,TF350-485(单品包装)-V1.0,组装,50,14:42,16:57
97,ID445,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,593,9:0,19:0
