任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
129,ID740,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,332,9:0,10:24
131,ID730,13.01.09.002,TF350-485(单品包装)-V1.0,测试,50,10:27,14:15
129,ID740,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,408,15:33,19:0
129,ID740,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,593,9:0,19:0
131,ID730,13.01.09.002,TF350-485(单品包装)-V1.0,组装,50,10:24,13:39
131,ID730,13.01.09.002,TF350-485(单品包装)-V1.0,包装,50,13:45,14:24
129,ID740,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,408,15:33,19:0
131,ID730,13.01.09.002,TF350-485(单品包装)-V1.0,包装,50,13:45,14:24
129,ID740,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,408,15:33,19:0
122,ID696,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,418,9:0,13:0
129,ID740,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,408,15:33,19:0
129,ID740,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,344,9:0,10:27
134,ID841,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,10:27,15:15
129,ID740,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,344,9:0,10:27
