任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
166,ID974,13.01.05.017,TF03-UART(整箱包装)-V1.1,测试,44,9:0,10:27
170,ID1143,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,491,10:27,19:0
166,ID974,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,120,10:0,10:30
171,ID1139,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,测试,615,10:30,19:0
166,ID974,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,120,10:0,10:30
171,ID1139,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,493,14:57,19:0
175,ID1122,13.01.05.011,TF03-180 4~20mA（单品包装）-V1.0,测试,30,13:15,14:15
175,ID1122,13.01.05.011,TF03-180 4~20mA（单品包装）-V1.0,包装,30,14:15,14:42
166,ID974,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,20,9:0,10:6
171,ID1139,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,493,14:57,19:0
171,ID1139,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,493,14:57,19:0
175,ID1122,13.01.05.011,TF03-180 4~20mA（单品包装）-V1.0,组装,30,10:30,13:15
166,ID974,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,18,9:0,10:0
170,ID1143,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,10:6,14:54
166,ID974,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,20,9:0,10:6
170,ID1143,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,10:6,14:54
