任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
63,ID183,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,503,9:0,13:18
68,ID262,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,800,13:18,15:15
68,ID262,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,800,15:15,17:12
68,ID262,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,测试,114,17:12,19:0
64,ID182,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,测试,481,9:0,15:27
63,ID183,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,3000,15:27,16:18
64,ID182,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,包装,1500,16:18,18:3
72,ID305,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,201,18:9,19:0
67,ID307,13.01.07.008,TF-Luna-ASU,组装,1918,9:0,15:24
63,ID183,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,3000,15:33,16:24
55,ID46,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,4088,17:21,19:0
67,ID307,13.01.07.008,TF-Luna-ASU,组装,1971,9:0,15:33
64,ID182,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,包装,1500,16:24,18:9
68,ID262,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,800,15:24,17:21
55,ID46,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,3377,18:3,19:0
66,ID265,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,89,9:0,9:15
67,ID307,13.01.07.008,TF-Luna-ASU,组装,2928,9:15,19:0
