任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
159,ID999,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,测试,100,09:33,10:48
169,ID1076,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,测试,100,13:18,14:33
176,ID1180,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,测试,100,16:3,17:18
159,ID999,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,包装,100,10:3,10:54
169,ID1076,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,包装,100,13:48,14:39
176,ID1180,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,包装,100,16:33,17:24
159,ID999,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,包装,100,10:3,10:54
169,ID1076,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,包装,100,13:48,14:39
176,ID1180,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,包装,100,16:33,17:24
169,ID1076,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,组装,62,9:0,10:42
176,ID1180,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,组装,100,10:42,14:27
159,ID999,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,组装,60,9:0,10:39
176,ID1180,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,组装,100,10:48,14:33
169,ID1076,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,组装,66,9:0,10:48
176,ID1180,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,组装,100,14:24,17:9
169,ID1076,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,组装,100,10:39,14:24
