任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,1578,11:9,19:0
129,ID740,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,368,9:0,10:33
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,593,9:0,19:0
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,1578,11:9,19:0
175,ID1122,13.01.05.011,TF03-180 4~20mA（单品包装）-V1.0,组装,30,9:18,11:3
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,1578,11:9,19:0
121,ID698,13.01.07.001,TF-luna(标品/单品包装)-V1.0,组装,106,9:0,9:18
121,ID698,13.01.07.001,TF-luna(标品/单品包装)-V1.0,包装,406,16:24,19:0
121,ID698,13.01.07.001,TF-luna(标品/单品包装)-V1.0,组装,230,9:0,09:39
121,ID698,13.01.07.001,TF-luna(标品/单品包装)-V1.0,测试,975,9:0,16:24
