任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
68,ID262,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,测试,686,9:0,18:18
72,ID305,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,699,9:0,11:57
80,ID352,DZ.01.05.017.Bordelaise,TF03-UART(整箱包装)-V1.1-Bordelaise-70mm尾线,组装,40,14:0,16:18
92,ID421,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,800,16:18,18:45
55,ID46,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,712,9:0,9:12
72,ID305,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,9:24,14:12
92,ID421,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,800,16:18,18:45
72,ID305,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,9:12,14:0
80,ID352,DZ.01.05.017.Bordelaise,TF03-UART(整箱包装)-V1.1-Bordelaise-70mm尾线,组装,40,14:0,16:18
92,ID421,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,800,16:30,18:57
55,ID46,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,1423,9:0,9:24
68,ID262,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,772,11:57,19:0
72,ID305,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,9:12,14:0
80,ID352,DZ.01.05.017.Bordelaise,TF03-UART(整箱包装)-V1.1-Bordelaise-70mm尾线,组装,40,14:12,16:30
67,ID307,13.01.07.008,TF-Luna-ASU,组装,72,9:0,9:12
