任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
152,ID898,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,67,9:0,13:48
152,ID898,13.01.05.005,TF03-UART(单品包装)-V1.1,测试,120,13:48,18:18
154,ID1010,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,94,18:36,19:0
152,ID898,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,110,9:0,16:18
152,ID898,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,120,16:18,18:36
154,ID1010,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,94,18:36,19:0
151,ID948,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,593,9:0,19:0
152,ID898,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,120,16:18,18:36
150,ID919,13.01.07.001,TF-luna(标品/单品包装)-V1.0,包装,425,16:18,19:0
152,ID898,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,110,9:0,16:18
150,ID919,13.01.07.001,TF-luna(标品/单品包装)-V1.0,包装,135,18:18,19:0
152,ID898,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,110,9:0,16:18
