任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
120,ID637,13.01.05.005,TF03-UART(单品包装)-V1.1,测试,120,09:54,14:54
129,ID740,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,532,16:15,19:0
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,593,9:0,19:0
120,ID637,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,120,13:15,15:3
121,ID698,13.01.07.001,TF-luna(标品/单品包装)-V1.0,组装,1130,9:0,13:12
120,ID637,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,120,14:27,16:15
121,ID698,13.01.07.001,TF-luna(标品/单品包装)-V1.0,组装,1394,14:33,19:0
120,ID637,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,78,9:0,14:27
121,ID698,13.01.07.001,TF-luna(标品/单品包装)-V1.0,组装,1270,14:54,19:0
120,ID637,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,80,9:0,14:33
121,ID698,13.01.07.001,TF-luna(标品/单品包装)-V1.0,测试,525,15:3,19:0
