任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
12,ID41,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,包装,204,10:57,11:45
36,ID77,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,组装,57,9:0,09:48
59,ID135,13.01.05.006,TF03-485(单品包装)-V1.1,测试,75,16:0,19:0
12,ID41,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,包装,204,10:57,11:45
36,ID77,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,组装,57,9:0,09:48
22,ID92,DZ.01.02.023.ZM,TF02-Pro标品(整箱包装)-V1.0-泽牧9mm尾线定制,测试,174,11:42,19:0
36,ID77,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,组装,64,9:0,09:54
17,ID50,13.01.02.039,TF02-Pro-Breezer,组装,22,9:0,9:18
59,ID135,13.01.05.006,TF03-485(单品包装)-V1.1,组装,120,9:18,17:12
59,ID135,13.01.05.006,TF03-485(单品包装)-V1.1,包装,10,18:51,19:0
12,ID41,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,测试,82,9:0,11:42
59,ID135,13.01.05.006,TF03-485(单品包装)-V1.1,组装,100,11:45,19:0
59,ID135,13.01.05.006,TF03-485(单品包装)-V1.1,组装,120,09:48,18:12
59,ID135,13.01.05.006,TF03-485(单品包装)-V1.1,包装,10,18:51,19:0
36,ID77,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,组装,64,9:0,09:54
59,ID135,13.01.05.006,TF03-485(单品包装)-V1.1,组装,120,09:54,18:18
