任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
99,ID443,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,1295,9:0,19:0
111,ID556,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,93,13:9,19:0
111,ID556,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,55,9:0,13:9
114,ID599,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,13:54,18:12
111,ID556,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,68,9:0,13:54
111,ID556,13.01.05.018,TF03-485(整箱包装)-V1.1,测试,63,16:24,19:0
122,ID696,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,800,14:0,15:57
109,ID530,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,测试,750,9:0,19:0
122,ID696,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,328,18:12,19:0
111,ID556,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,70,9:0,14:0
