任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
82,ID391,13.01.07.008,TF-Luna-ASU,测试,928,9:0,16:6
85,ID388,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,365,16:6,19:0
82,ID391,13.01.07.008,TF-Luna-ASU,包装,2000,14:27,16:9
101,ID518,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,834,16:9,19:0
160,ID1014,13.01.09.003,TF350-232(单品包装)-V1.0,测试,20,13:12,14:21
82,ID391,13.01.07.008,TF-Luna-ASU,包装,2000,14:27,16:9
100,ID519,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,154,9:0,09:39
101,ID518,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,834,16:9,19:0
106,ID441,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,组装,60,09:39,14:6
99,ID443,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,1134,9:0,13:12
101,ID518,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,532,17:0,19:0
100,ID519,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,593,9:0,19:0
99,ID443,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,2479,9:0,17:0
