任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
29,ID192,13.01.02.025,TF02-Pro-F(整箱包装)-V1.0,组装,704,9:0,19:0
29,ID192,13.01.02.025,TF02-Pro-F(整箱包装)-V1.0,组装,704,9:0,19:0
29,ID192,13.01.02.025,TF02-Pro-F(整箱包装)-V1.0,组装,704,9:0,19:0
29,ID192,13.01.02.025,TF02-Pro-F(整箱包装)-V1.0,组装,704,9:0,19:0
29,ID192,13.01.02.025,TF02-Pro-F(整箱包装)-V1.0,测试,257,9:0,19:0
127,ID615,13.01.06.004,S2R继电器板,测试,69,9:0,14:18
127,ID615,13.01.06.004,S2R继电器板,包装,200,14:18,16:15
185,ID1159,13.01.06.004,S2R继电器板,组装,200,16:15,16:21
185,ID1159,13.01.06.004,S2R继电器板,组装,200,16:21,16:27
185,ID1159,13.01.06.004,S2R继电器板,组装,200,16:27,16:33
185,ID1159,13.01.06.004,S2R继电器板,组装,200,16:33,16:39
185,ID1159,13.01.06.004,S2R继电器板,测试,29,16:39,19:0
