任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
73,ID271,13.01.07.003,TF-Luna(LT/整箱包装)-V1.0,测试,305,9:0,19:0
89,ID425,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,324,13:51,19:0
86,ID353,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,269,9:0,13:51
88,ID367,13.01.05.006,TF03-485(单品包装)-V1.1,包装,120,14:36,16:24
88,ID367,13.01.05.006,TF03-485(单品包装)-V1.1,包装,120,16:24,18:42
148,ID857,13.01.09.001,TF350-UART(单品包装)-V1.0,测试,5,18:42,19:0
91,ID350,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,1634,9:0,14:36
131,ID730,13.01.09.002,TF350-485(单品包装)-V1.0,组装,17,18:12,19:0
91,ID350,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,2610,9:0,17:21
91,ID350,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,2734,9:0,18:12
95,ID354,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),包装,30,17:21,18:57
