任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
156,ID1023,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,277,9:0,11:0
162,ID979,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,989,11:0,19:0
156,ID1023,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,277,9:0,11:0
164,ID971,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,测试,573,11:0,19:0
156,ID1023,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,133,9:0,10:54
165,ID1041,13.01.05.006,TF03-485(单品包装)-V1.1,组装,113,11:0,19:0
156,ID1023,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,277,9:0,11:0
165,ID1041,13.01.05.006,TF03-485(单品包装)-V1.1,组装,113,11:0,19:0
156,ID1023,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,277,9:0,11:0
162,ID979,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,2343,10:54,19:0
