任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
8,SCDD2023091556,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,组装,135,9:0,10:51
5,SCDD2023091555,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,包装,1380,17:21,19:0
2,SCDD2023091535,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,包装,100,14:48,15:12
2,SCDD2023091535,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,包装,100,15:12,15:36
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,200,10:51,11:42
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,200,11:42,13:33
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,200,15:48,17:15
96,ID484,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,200,13:33,14:24
98,ID485,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,-1940,10:6,14:18
98,ID485,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,-1940,13:54,14:24
98,ID485,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,-1940,13:54,14:24
38,ID67,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,2,14:24,14:33
38,ID67,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,2,14:33,14:42
38,ID67,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,2,15:36,15:45
38,ID67,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,2,17:15,17:18
4,SCDD2023091551,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,测试,267,9:0,16:57
5,SCDD2023091555,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,包装,1380,17:21,19:0
38,ID67,13.01.05.017,TF03-UART(整箱包装)-V1.1,测试,2,16:57,17:3
38,ID67,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,2,17:15,17:18
41,ID109,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,2,17:3,17:12
7,SCDD2023091557,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,711,9:0,11:0
7,SCDD2023091557,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,989,11:0,19:0
7,SCDD2023091557,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,711,9:0,11:0
8,SCDD2023091556,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,测试,87,15:36,19:0
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,200,11:0,11:51
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,200,11:51,13:42
96,ID484,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,200,13:42,14:33
96,ID484,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,200,14:33,15:24
38,ID67,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,2,15:24,15:33
7,SCDD2023091557,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,1509,9:0,14:15
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,测试,200,14:15,17:9
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,186,17:9,19:0
5,SCDD2023091555,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,测试,750,9:0,19:0
8,SCDD2023091556,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,组装,102,9:0,10:24
3,SCDD2023091549,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,包装,390,10:24,13:6
3,SCDD2023091549,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,包装,390,13:6,14:48
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,200,15:48,17:15
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,172,17:15,19:0
96,ID484,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,200,14:48,15:39
41,ID109,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,2,15:39,15:48
