任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
101,ID518,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,1294,9:0,19:0
110,ID536,13.01.05.005,TF03-UART(单品包装)-V1.1,测试,6,9:0,9:12
108,ID555,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,800,10:39,17:24
116,ID597,13.01.07.001,TF-luna(标品/单品包装)-V1.0,组装,388,17:24,19:0
114,ID599,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,593,9:0,11:30
110,ID536,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,110,9:0,10:39
108,ID555,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,800,10:39,17:24
114,ID599,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,152,17:24,19:0
110,ID536,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,110,9:0,10:39
108,ID555,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,800,11:30,18:45
114,ID599,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,579,9:12,19:0
122,ID696,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,102,18:45,19:0
