任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
60,ID134,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,113,9:0,16:27
55,ID46,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,1295,9:0,19:0
60,ID134,13.01.05.017,TF03-UART(整箱包装)-V1.1,测试,120,11:48,16:48
56,ID232,13.01.07.008,TF-Luna-ASU,包装,589,9:0,09:30
56,ID232,13.01.07.008,TF-Luna-ASU,包装,1000,09:30,10:21
148,ID857,13.01.09.001,TF350-UART(单品包装)-V1.0,组装,20,10:21,11:15
60,ID134,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,54,9:0,13:3
62,ID136,13.01.05.006,TF03-485(单品包装)-V1.1,组装,94,13:3,19:0
62,ID136,13.01.05.006,TF03-485(单品包装)-V1.1,组装,79,13:57,19:0
153,ID890,13.01.04.035,TFmini-S-IC(单品包装)-V1.0,组装,200,11:15,11:45
62,ID136,13.01.05.006,TF03-485(单品包装)-V1.1,组装,35,16:27,19:0
60,ID134,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,69,9:0,13:57
62,ID136,13.01.05.006,TF03-485(单品包装)-V1.1,组装,29,16:48,19:0
