任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
73,ID271,13.01.07.003,TF-Luna(LT/整箱包装)-V1.0,测试,305,9:0,19:0
88,ID367,13.01.05.006,TF03-485(单品包装)-V1.1,测试,1,18:57,19:0
95,ID354,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),测试,30,15:42,16:42
95,ID354,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),包装,30,16:42,18:18
86,ID353,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,593,9:0,19:0
88,ID367,13.01.05.006,TF03-485(单品包装)-V1.1,组装,91,9:0,15:12
89,ID425,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,698,15:33,19:0
88,ID367,13.01.05.006,TF03-485(单品包装)-V1.1,组装,57,15:12,19:0
88,ID367,13.01.05.006,TF03-485(单品包装)-V1.1,组装,97,9:0,15:33
88,ID367,13.01.05.006,TF03-485(单品包装)-V1.1,组装,100,9:0,15:42
