任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
25,ID85,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,630,9:0,14:33
137,ID836,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,包装,100,16:48,18:24
25,ID85,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,630,9:0,14:33
137,ID836,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,包装,100,16:48,18:24
25,ID85,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,630,9:0,14:33
139,ID817,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,测试,100,16:6,17:21
138,ID814,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,组装,41,17:21,19:0
25,ID85,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,630,9:0,14:33
139,ID817,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,包装,100,16:36,17:27
138,ID814,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,组装,38,17:27,19:0
25,ID85,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,311,9:0,14:27
139,ID817,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,组装,100,14:27,17:12
138,ID814,13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,组装,47,17:12,19:0
137,ID836,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,69,9:0,11:3
137,ID836,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,100,11:3,15:3
139,ID817,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,包装,100,16:36,17:27
137,ID836,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,47,9:0,10:24
137,ID836,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,100,10:24,14:24
137,ID836,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,测试,100,14:24,18:15
