任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
25,ID85,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,9:0,13:48
25,ID85,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,270,16:33,19:0
133,ID754,13.01.04.051,TFmini-i-485(整箱) 2m散线,组装,100,13:48,16:33
25,ID85,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,9:0,13:48
25,ID85,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,270,16:33,19:0
133,ID754,13.01.04.051,TFmini-i-485(整箱) 2m散线,组装,100,13:48,16:33
25,ID85,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,9:0,13:48
25,ID85,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,270,16:33,19:0
139,ID817,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,组装,100,13:48,16:33
25,ID85,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,9:0,13:48
25,ID85,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,270,16:33,19:0
139,ID817,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,组装,100,13:48,16:33
25,ID85,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,589,9:3,19:0
118,ID575,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,组装,71,9:0,10:57
118,ID575,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,测试,100,10:57,13:12
118,ID575,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,包装,100,13:12,14:3
133,ID754,13.01.04.051,TFmini-i-485(整箱) 2m散线,测试,100,15:27,16:42
133,ID754,13.01.04.051,TFmini-i-485(整箱) 2m散线,包装,100,16:42,18:3
137,ID836,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,31,18:3,19:0
118,ID575,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,组装,88,9:0,11:24
118,ID575,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,包装,100,11:27,13:18
133,ID754,13.01.04.051,TFmini-i-485(整箱) 2m散线,组装,100,13:18,16:3
133,ID754,13.01.04.051,TFmini-i-485(整箱) 2m散线,包装,100,16:3,16:54
137,ID836,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,53,16:54,19:0
