任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
29,ID192,13.01.02.025,TF02-Pro-F(整箱包装)-V1.0,组装,704,9:0,19:0
29,ID192,13.01.02.025,TF02-Pro-F(整箱包装)-V1.0,组装,704,9:0,19:0
29,ID192,13.01.02.025,TF02-Pro-F(整箱包装)-V1.0,组装,704,9:0,19:0
29,ID192,13.01.02.025,TF02-Pro-F(整箱包装)-V1.0,组装,704,9:0,19:0
29,ID192,13.01.02.025,TF02-Pro-F(整箱包装)-V1.0,测试,252,9:9,19:0
127,ID615,13.01.06.004,S2R继电器板,组装,200,9:0,9:6
127,ID615,13.01.06.004,S2R继电器板,组装,200,9:0,9:6
127,ID615,13.01.06.004,S2R继电器板,组装,200,9:6,9:12
127,ID615,13.01.06.004,S2R继电器板,组装,200,9:12,9:18
127,ID615,13.01.06.004,S2R继电器板,测试,131,9:18,19:0
