任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
101,ID518,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,625,9:0,14:6
103,ID444,13.01.07.001,TF-luna(标品/单品包装)-V1.0,测试,670,14:6,19:0
101,ID518,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,3000,13:18,14:9
103,ID444,13.01.07.001,TF-luna(标品/单品包装)-V1.0,包装,425,16:18,19:0
116,ID597,13.01.07.001,TF-luna(标品/单品包装)-V1.0,组装,1112,9:0,13:9
101,ID518,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,3000,13:18,14:9
103,ID444,13.01.07.001,TF-luna(标品/单品包装)-V1.0,包装,425,16:18,19:0
178,ID1193,13.01.09.001,TF350-UART(单品包装)-V1.0,测试,20,10:42,11:51
178,ID1193,13.01.09.001,TF350-UART(单品包装)-V1.0,包装,20,11:51,13:9
178,ID1193,13.01.09.001,TF350-UART(单品包装)-V1.0,包装,20,14:36,14:54
114,ID599,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,748,9:0,15:24
114,ID599,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,602,14:9,19:0
114,ID599,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,321,9:0,14:36
114,ID599,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,602,14:9,19:0
122,ID696,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,698,9:0,10:42
