任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
156,ID1023,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,623,14:0,19:0
171,ID1139,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,800,10:12,13:9
156,ID1023,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,623,14:0,19:0
170,ID1143,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,320,9:0,10:21
156,ID1023,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,593,9:0,19:0
156,ID1023,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,623,14:0,19:0
164,ID971,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,组装,494,9:0,10:12
171,ID1139,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,800,10:21,13:18
156,ID1023,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,623,14:0,19:0
162,ID979,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,480,9:0,10:21
170,ID1143,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,782,9:0,13:18
171,ID1139,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,800,10:21,13:18
