任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
162,ID979,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,717,9:0,14:42
163,ID970,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,424,15:27,19:0
162,ID979,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,3000,13:54,14:45
164,ID971,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,测试,177,9:0,11:0
163,ID970,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,424,15:27,19:0
162,ID979,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,3000,13:54,14:45
161,ID1061,13.01.07.001,TF-luna(标品/单品包装)-V1.0,包装,213,9:0,10:6
163,ID970,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,424,15:27,19:0
164,ID971,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,包装,1500,10:6,11:21
164,ID971,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,包装,1500,11:21,13:36
163,ID970,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,测试,571,11:0,19:0
165,ID1041,13.01.05.006,TF03-485(单品包装)-V1.1,测试,84,9:0,11:48
166,ID974,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,33,16:33,19:0
161,ID1061,13.01.07.001,TF-luna(标品/单品包装)-V1.0,包装,1268,9:0,16:33
