任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
22,ID92,DZ.01.02.023.ZM,TF02-Pro标品(整箱包装)-V1.0-泽牧9mm尾线定制,包装,250,10:33,11:33
17,ID50,13.01.02.039,TF02-Pro-Breezer,包装,100,15:30,15:54
59,ID135,13.01.05.006,TF03-485(单品包装)-V1.1,测试,45,9:0,10:30
22,ID92,DZ.01.02.023.ZM,TF02-Pro标品(整箱包装)-V1.0-泽牧9mm尾线定制,包装,250,10:33,11:33
17,ID50,13.01.02.039,TF02-Pro-Breezer,包装,100,15:30,15:54
22,ID92,DZ.01.02.023.ZM,TF02-Pro标品(整箱包装)-V1.0-泽牧9mm尾线定制,测试,76,9:0,11:30
17,ID50,13.01.02.039,TF02-Pro-Breezer,测试,100,11:30,15:51
36,ID77,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,测试,79,15:51,19:0
59,ID135,13.01.05.006,TF03-485(单品包装)-V1.1,包装,110,9:0,10:39
59,ID135,13.01.05.006,TF03-485(单品包装)-V1.1,组装,20,9:0,10:9
59,ID135,13.01.05.006,TF03-485(单品包装)-V1.1,包装,110,9:0,10:39
