任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
85,ID388,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,47,9:0,9:18
91,ID350,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,1248,9:18,19:0
85,ID388,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,1236,9:0,9:21
105,ID438,13.01.05.017,TF03-UART(整箱包装)-V1.1,测试,52,16:45,19:0
85,ID388,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,1236,9:0,9:21
104,ID437,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,30,16:45,19:0
105,ID438,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,118,9:0,16:45
104,ID437,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,21,17:15,19:0
105,ID438,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,118,9:0,16:45
104,ID437,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,21,17:15,19:0
105,ID438,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,120,9:21,17:15
105,ID438,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,120,9:21,17:15
