任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
14,ID268,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12,9:0,9:24
14,ID268,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,1492,9:24,16:6
53,ID184,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,41,16:6,19:0
14,ID268,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12,9:0,9:24
14,ID268,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,1492,9:24,16:6
14,ID268,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12,9:0,9:24
30,ID81,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,测试,712,9:24,19:0
14,ID268,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12,9:0,9:24
30,ID81,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,646,13:51,19:0
56,ID232,13.01.07.008,TF-Luna-ASU,组装,1000,9:24,13:15
14,ID268,13.01.05.017,TF03-UART(整箱包装)-V1.1,测试,28,9:0,09:45
30,ID81,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,646,13:51,19:0
153,ID890,13.01.04.035,TFmini-S-IC(单品包装)-V1.0,组装,200,13:15,13:45
30,ID81,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,333,16:6,19:0
56,ID232,13.01.07.008,TF-Luna-ASU,组装,1000,09:45,13:36
