任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
20,ID32,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,120,9:0,16:54
40,ID131,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,组装,40,16:54,19:0
20,ID32,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,120,9:0,16:54
40,ID131,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,组装,40,16:54,19:0
20,ID32,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,120,9:0,16:54
40,ID131,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,组装,40,16:54,19:0
20,ID32,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,120,9:0,16:54
40,ID131,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,组装,31,17:15,19:0
20,ID32,13.01.05.018,TF03-485(整箱包装)-V1.1,测试,120,13:15,17:15
24,ID9,13.01.04.035,TFmini-S-IC(单品包装)-V1.0,组装,200,9:0,09:30
24,ID9,13.01.04.035,TFmini-S-IC(单品包装)-V1.0,测试,200,09:30,11:48
79,ID287,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,8,17:18,18:18
79,ID287,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,8,18:24,18:54
20,ID32,13.01.05.018,TF03-485(整箱包装)-V1.1,包装,120,16:48,17:18
24,ID9,13.01.04.035,TFmini-S-IC(单品包装)-V1.0,组装,200,9:0,09:30
24,ID9,13.01.04.035,TFmini-S-IC(单品包装)-V1.0,组装,200,09:30,10:0
24,ID9,13.01.04.035,TFmini-S-IC(单品包装)-V1.0,包装,200,10:27,11:54
47,ID148,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,组装,55,10:0,10:9
47,ID148,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,组装,55,10:9,10:18
47,ID148,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,组装,55,10:18,10:27
47,ID148,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,测试,55,15:42,16:21
47,ID148,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,包装,55,16:21,16:24
47,ID148,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,包装,55,16:24,16:27
79,ID287,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,8,17:24,18:24
20,ID32,13.01.05.018,TF03-485(整箱包装)-V1.1,包装,120,16:54,17:24
24,ID9,13.01.04.035,TFmini-S-IC(单品包装)-V1.0,包装,200,11:48,14:15
24,ID9,13.01.04.035,TFmini-S-IC(单品包装)-V1.0,包装,200,14:15,15:42
79,ID287,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,8,18:18,18:48
