任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
132,ID981,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,1260,9:0,15:3
155,ID941,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,组装,60,15:3,19:0
132,ID981,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,1260,9:0,15:3
132,ID981,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,353,9:0,15:0
134,ID841,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,244,15:0,19:0
132,ID981,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,1260,9:0,15:3
155,ID941,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,组装,60,15:3,19:0
150,ID919,13.01.07.001,TF-luna(标品/单品包装)-V1.0,测试,244,9:0,10:36
151,ID948,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,1628,10:36,19:0
155,ID941,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,组装,60,15:3,19:0
