任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
9,ID48,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,148,9:0,19:0
9,ID48,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,148,9:0,19:0
9,ID48,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,148,9:0,19:0
9,ID48,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,148,9:0,19:0
9,ID48,13.01.05.017,TF03-UART(整箱包装)-V1.1,测试,199,10:51,19:0
11,ID37,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),组装,5,9:0,9:15
61,ID215,13.01.09.001,TF350-UART(单品包装)-V1.0,组装,20,9:15,10:9
23,ID93,13.01.04.062,TFmini-S-K-(整箱包装)-V1.0,测试,750,9:0,19:0
23,ID93,13.01.04.062,TFmini-S-K-(整箱包装)-V1.0,包装,1533,17:12,19:0
50,ID230,13.01.07.008,TF-Luna-ASU,测试,556,9:0,13:39
50,ID230,13.01.07.008,TF-Luna-ASU,包装,1500,13:39,14:54
50,ID230,13.01.07.008,TF-Luna-ASU,包装,1500,14:54,16:9
61,ID215,13.01.09.001,TF350-UART(单品包装)-V1.0,组装,20,16:9,17:3
