任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
5,SCDD2023091555,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,包装,120,9:0,9:6
8,SCDD2023091556,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,包装,200,11:9,13:51
96,ID484,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,200,13:51,15:18
26,ID36,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,100,9:6,09:33
26,ID36,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,100,15:18,16:3
26,ID36,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,100,16:3,16:48
32,ID80,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,56,16:48,19:0
41,ID109,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,2,09:33,09:42
41,ID109,13.01.05.017,TF03-UART(整箱包装)-V1.1,测试,2,10:6,10:12
41,ID109,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,2,10:24,10:27
48,ID173,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,100,10:27,10:54
5,SCDD2023091555,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,包装,120,9:0,9:6
8,SCDD2023091556,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,包装,200,11:9,13:51
21,ID89,13.01.07.008,TF-Luna-ASU,组装,900,13:51,16:24
26,ID36,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,100,9:6,09:33
26,ID36,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,100,16:24,17:9
41,ID109,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,2,09:33,09:42
41,ID109,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,2,10:24,10:27
44,ID118,13.01.09.003,TF350-232(单品包装)-V1.0,组装,20,17:9,18:33
44,ID118,13.01.09.003,TF350-232(单品包装)-V1.0,组装,10,18:33,19:0
48,ID173,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,100,09:42,10:9
48,ID173,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,100,10:27,10:54
7,SCDD2023091557,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,1294,9:0,19:0
8,SCDD2023091556,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,测试,113,9:0,13:45
4,SCDD2023091551,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,包装,710,13:45,16:48
4,SCDD2023091551,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,包装,395,16:48,19:0
8,SCDD2023091556,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,包装,200,11:9,13:51
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,14,9:0,9:6
21,ID89,13.01.07.008,TF-Luna-ASU,组装,900,13:51,16:24
26,ID36,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,100,9:6,09:33
32,ID80,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,70,16:24,19:0
44,ID118,13.01.09.003,TF350-232(单品包装)-V1.0,组装,20,09:33,10:27
48,ID173,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,100,10:27,10:54
5,SCDD2023091555,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,测试,5,9:0,9:3
96,ID484,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,测试,200,9:3,11:57
96,ID484,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,200,11:57,14:24
21,ID89,13.01.07.008,TF-Luna-ASU,组装,900,14:24,16:57
32,ID80,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,51,16:57,19:0
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,28,9:0,9:12
96,ID484,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,200,10:36,13:3
96,ID484,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,200,13:3,14:30
26,ID36,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,100,9:12,09:39
26,ID36,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,测试,100,14:30,15:57
26,ID36,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,100,15:57,16:42
32,ID80,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,60,16:42,19:0
44,ID118,13.01.09.003,TF350-232(单品包装)-V1.0,组装,20,09:39,10:33
