任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
63,ID183,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,1203,09:36,19:0
55,ID46,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,93,9:0,09:36
64,ID182,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,测试,269,15:27,19:0
64,ID182,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,组装,740,9:0,10:48
64,ID182,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,组装,1500,10:48,15:27
66,ID265,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,1065,15:30,19:0
64,ID182,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,组装,1376,15:9,19:0
63,ID183,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,1829,9:0,15:9
66,ID265,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,1011,15:39,19:0
63,ID183,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,1953,9:0,15:30
63,ID183,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,2006,9:0,15:39
