任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
73,ID271,13.01.07.003,TF-Luna(LT/整箱包装)-V1.0,测试,305,9:0,19:0
89,ID425,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,576,9:0,18:45
92,ID421,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,测试,13,18:51,19:0
89,ID425,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,900,10:51,18:51
106,ID441,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,组装,2,18:51,19:0
148,ID857,13.01.09.001,TF350-UART(单品包装)-V1.0,测试,15,9:0,09:51
89,ID425,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,900,10:51,18:51
106,ID441,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,组装,2,18:51,19:0
131,ID730,13.01.09.002,TF350-485(单品包装)-V1.0,组装,33,9:0,10:27
89,ID425,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,900,10:51,18:51
148,ID857,13.01.09.001,TF350-UART(单品包装)-V1.0,包装,20,09:42,10:0
89,ID425,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,34,18:45,19:0
148,ID857,13.01.09.001,TF350-UART(单品包装)-V1.0,包装,20,09:51,10:9
