任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
73,ID271,13.01.07.003,TF-Luna(LT/整箱包装)-V1.0,测试,305,9:0,19:0
88,ID367,13.01.05.006,TF03-485(单品包装)-V1.1,测试,119,9:0,13:57
86,ID353,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,593,9:0,19:0
89,ID425,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,202,9:0,09:51
89,ID425,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,09:51,14:39
91,ID350,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,1366,14:39,19:0
88,ID367,13.01.05.006,TF03-485(单品包装)-V1.1,组装,63,9:0,13:36
91,ID350,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,390,17:24,19:0
89,ID425,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,13:36,17:24
91,ID350,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,266,18:15,19:0
89,ID425,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,13:57,18:15
