任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,522,9:0,11:6
123,ID616,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,2272,11:6,19:0
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,144,9:0,11:3
123,ID616,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,2272,11:6,19:0
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,522,9:0,11:6
123,ID616,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,2272,11:6,19:0
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,522,9:0,11:6
123,ID616,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,434,15:39,19:0
121,ID698,13.01.07.001,TF-luna(标品/单品包装)-V1.0,包装,1094,9:0,15:39
121,ID698,13.01.07.001,TF-luna(标品/单品包装)-V1.0,包装,1248,11:3,19:0
