任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
151,ID948,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,361,9:0,10:27
157,ID1000,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,100,11:45,19:0
151,ID948,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,361,9:0,10:27
157,ID1000,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,56,15:15,19:0
151,ID948,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,98,9:0,10:24
154,ID1010,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,495,10:24,19:0
156,ID1023,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,652,9:0,11:45
157,ID1000,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,56,15:15,19:0
151,ID948,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,1467,9:0,15:54
156,ID1023,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,10:27,15:15
157,ID1000,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,45,15:54,19:0
156,ID1023,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,10:27,15:15
