任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
134,ID841,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,139,9:0,10:0
149,ID921,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,152,17:24,19:0
156,ID1023,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,10:0,14:48
163,ID970,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,800,14:48,16:45
134,ID841,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,139,9:0,10:0
134,ID841,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,63,9:0,09:54
149,ID921,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,530,09:54,19:0
134,ID841,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,139,9:0,10:0
134,ID841,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,139,9:0,10:0
151,ID948,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,1769,10:0,19:0
151,ID948,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,1769,10:0,19:0
151,ID948,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,1769,10:0,19:0
