任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
67,ID307,13.01.07.008,TF-Luna-ASU,测试,1294,9:0,19:0
75,ID302,13.01.05.018,TF03-485(整箱包装)-V1.1,测试,117,9:0,13:54
74,ID282,13.01.05.005,TF03-UART(单品包装)-V1.1,测试,40,17:9,19:0
75,ID302,13.01.05.018,TF03-485(整箱包装)-V1.1,包装,120,13:57,14:27
75,ID302,13.01.05.018,TF03-485(整箱包装)-V1.1,包装,120,14:27,14:57
74,ID282,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,69,9:0,13:57
75,ID302,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,62,9:0,13:33
74,ID282,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,80,13:54,19:0
75,ID302,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,62,9:0,13:33
95,ID354,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),组装,30,14:57,16:42
74,ID282,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,86,13:33,19:0
74,ID282,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,86,13:33,19:0
