任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
142,ID797,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,1158,9:0,18:6
143,ID865,13.01.05.018,TF03-485(整箱包装)-V1.1,测试,120,09:48,14:48
144,ID791,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,64,14:48,19:0
132,ID981,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,593,9:0,19:0
143,ID865,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,78,9:0,14:27
144,ID791,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,63,14:51,19:0
143,ID865,13.01.05.018,TF03-485(整箱包装)-V1.1,包装,120,14:21,14:51
144,ID791,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,15,18:6,19:0
149,ID921,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,344,9:0,10:27
153,ID890,13.01.04.035,TFmini-S-IC(单品包装)-V1.0,包装,200,10:27,11:54
153,ID890,13.01.04.035,TFmini-S-IC(单品包装)-V1.0,包装,200,11:54,14:21
143,ID865,13.01.05.018,TF03-485(整箱包装)-V1.1,包装,120,14:27,14:57
144,ID791,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,61,14:57,19:0
