任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
19,ID12,13.01.05.005,TF03-UART(单品包装)-V1.1,测试,38,9:0,10:15
42,ID1,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),测试,30,10:15,11:15
46,ID149,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,100,11:42,19:0
19,ID12,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,94,9:0,10:24
42,ID1,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),包装,30,10:36,11:42
46,ID149,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,100,11:42,19:0
19,ID12,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,94,9:0,10:24
42,ID1,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),包装,30,10:36,11:42
46,ID149,13.01.05.005,TF03-UART(单品包装)-V1.1,测试,76,15:57,19:0
28,ID84,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,1294,9:0,19:0
27,ID83,13.01.07.001,TF-luna(标品/单品包装)-V1.0,包装,968,9:0,15:0
46,ID149,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,13,18:48,19:0
46,ID149,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,74,9:0,14:12
46,ID149,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,108,11:15,19:0
