任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
99,ID443,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,1295,9:0,19:0
109,ID530,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,包装,1500,10:48,13:3
111,ID556,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,27,9:0,10:33
111,ID556,13.01.05.018,TF03-485(整箱包装)-V1.1,包装,120,13:3,13:33
109,ID530,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,包装,1500,10:48,13:3
111,ID556,13.01.05.018,TF03-485(整箱包装)-V1.1,包装,120,13:3,13:33
114,ID599,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,13:33,17:21
108,ID555,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,测试,483,13:0,19:0
111,ID556,13.01.05.018,TF03-485(整箱包装)-V1.1,测试,57,9:0,10:54
109,ID530,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,测试,265,9:0,13:0
110,ID536,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,114,10:54,19:0
122,ID696,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,组装,472,9:0,10:9
114,ID599,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,900,13:33,17:21
178,ID1193,13.01.09.001,TF350-UART(单品包装)-V1.0,组装,20,17:21,18:45
