任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
154,ID1010,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,596,16:6,19:0
162,ID979,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,1918,9:0,15:24
154,ID1010,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,596,16:6,19:0
164,ID971,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,组装,1500,09:54,14:33
154,ID1010,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,593,9:0,19:0
154,ID1010,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,596,16:6,19:0
164,ID971,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,组装,1500,10:12,14:51
161,ID1061,13.01.07.001,TF-luna(标品/单品包装)-V1.0,组装,18,9:0,9:3
161,ID1061,13.01.07.001,TF-luna(标品/单品包装)-V1.0,测试,1286,9:3,19:0
161,ID1061,13.01.07.001,TF-luna(标品/单品包装)-V1.0,组装,318,9:0,09:54
161,ID1061,13.01.07.001,TF-luna(标品/单品包装)-V1.0,组装,424,9:0,10:12
