任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
9,ID48,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,122,9:0,16:57
10,ID88,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,27,16:57,19:0
9,ID48,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,122,9:0,16:57
10,ID88,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,27,16:57,19:0
9,ID48,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,122,9:0,16:57
10,ID88,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,27,16:57,19:0
9,ID48,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,122,9:0,16:57
10,ID88,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,27,16:57,19:0
9,ID48,13.01.05.017,TF03-UART(整箱包装)-V1.1,测试,219,9:0,17:18
11,ID37,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),测试,30,17:18,18:48
19,ID12,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,3,18:48,19:0
9,ID48,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,418,15:45,17:21
23,ID93,13.01.04.062,TFmini-S-K-(整箱包装)-V1.0,测试,54,9:0,09:36
23,ID93,13.01.04.062,TFmini-S-K-(整箱包装)-V1.0,包装,2300,09:36,11:33
19,ID12,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,20,17:21,19:0
42,ID1,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),组装,30,11:33,14:18
61,ID215,13.01.09.001,TF350-UART(单品包装)-V1.0,测试,20,14:30,15:39
9,ID48,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,418,15:45,17:21
23,ID93,13.01.04.062,TFmini-S-K-(整箱包装)-V1.0,包装,767,9:0,09:39
11,ID37,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),组装,30,09:39,11:24
19,ID12,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,20,17:21,19:0
42,ID1,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),组装,30,11:24,14:9
61,ID215,13.01.09.001,TF350-UART(单品包装)-V1.0,组装,20,14:9,15:3
