任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
99,ID443,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,217,9:0,10:24
101,ID518,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,1081,10:24,19:0
99,ID443,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,4940,9:3,10:27
110,ID536,13.01.05.005,TF03-UART(单品包装)-V1.1,测试,114,14:42,19:0
99,ID443,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,4940,9:3,10:27
114,ID599,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,组装,307,17:12,19:0
108,ID555,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,测试,317,9:0,13:36
110,ID536,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,10,18:51,19:0
110,ID536,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,120,10:27,18:51
110,ID536,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,10,18:51,19:0
110,ID536,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,6,9:0,9:18
110,ID536,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,120,9:18,17:12
110,ID536,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,120,10:27,18:51
