任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
66,ID265,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,778,9:0,15:6
67,ID307,13.01.07.008,TF-Luna-ASU,测试,517,15:6,19:0
66,ID265,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,3000,14:18,15:9
72,ID305,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,测试,77,9:0,10:6
75,ID302,13.01.05.018,TF03-485(整箱包装)-V1.1,测试,3,18:54,19:0
80,ID352,DZ.01.05.017.Bordelaise,TF03-UART(整箱包装)-V1.1-Bordelaise-70mm尾线,包装,40,10:36,11:12
66,ID265,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,3000,14:18,15:9
74,ID282,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,51,15:33,19:0
95,ID354,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),组装,30,10:57,13:42
73,ID271,13.01.07.003,TF-Luna(LT/整箱包装)-V1.0,组装,568,9:0,10:36
75,ID302,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,58,15:9,19:0
95,ID354,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),组装,30,11:12,13:57
73,ID271,13.01.07.003,TF-Luna(LT/整箱包装)-V1.0,组装,691,9:0,10:57
75,ID302,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,58,15:9,19:0
75,ID302,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,97,9:0,15:33
75,ID302,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,120,10:6,18:30
