任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
124,ID678,13.01.05.006,TF03-485(单品包装)-V1.1,组装,8,9:0,9:27
124,ID678,13.01.05.006,TF03-485(单品包装)-V1.1,测试,120,13:42,18:12
124,ID678,13.01.05.006,TF03-485(单品包装)-V1.1,组装,8,9:0,9:27
126,ID611,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,120,9:27,17:21
123,ID616,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,3000,18:3,18:54
124,ID678,13.01.05.006,TF03-485(单品包装)-V1.1,组装,8,9:0,9:27
124,ID678,13.01.05.006,TF03-485(单品包装)-V1.1,组装,120,9:27,17:21
123,ID616,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,2823,18:12,19:0
123,ID616,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,1272,9:0,18:51
122,ID696,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,20,18:51,19:0
122,ID696,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,测试,168,9:0,10:54
122,ID696,13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,包装,13,18:54,19:0
175,ID1122,13.01.05.011,TF03-180 4~20mA（单品包装）-V1.0,组装,30,10:54,13:39
126,ID611,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,120,9:27,17:21
126,ID611,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,20,17:21,19:0
126,ID611,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,20,17:21,19:0
