任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
91,ID350,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,458,9:0,13:0
99,ID443,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,838,13:0,19:0
91,ID350,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,3000,11:12,13:3
104,ID437,13.01.05.005,TF03-UART(单品包装)-V1.1,测试,30,9:0,10:0
106,ID441,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,包装,60,13:3,13:57
106,ID441,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,包装,60,13:57,14:51
109,ID530,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,组装,1500,14:51,19:0
91,ID350,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,3000,11:12,13:3
106,ID441,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,组装,11,9:0,09:36
109,ID530,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,组装,780,16:36,19:0
178,ID1193,13.01.09.001,TF350-UART(单品包装)-V1.0,组装,20,09:36,10:30
106,ID441,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,测试,60,10:0,13:0
97,ID445,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,1641,9:0,16:36
104,ID437,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,12,9:0,09:39
97,ID445,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,1354,13:3,19:0
97,ID445,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,1366,13:0,19:0
178,ID1193,13.01.09.001,TF350-UART(单品包装)-V1.0,组装,20,09:39,10:33
